LOCALE,KEY,ENGLISH,,,,,,VALUE,FIXUTURE,CONTEXT
fr,activity.empty.comments,No Comments,No Comments,No Comments,Sans commentaires,Sans commentaires,Sans commentaires,Sans commentaires,"'activity.empty.comments':'Sans commentaires',",
fr,activity.empty.status_updates,No Status Updates,No Status Updates,No Status Updates,Non État Mises à jour,Non État Mises à jour,Non État Mises à jour,Non État Mises à jour,"'activity.empty.status_updates':'Non État Mises à jour',",
fr,activity.one,Activity,Activity,Activity,Activité,Activité,Activité,Activité,"'activity.one':'Activité',",
fr,activity.tabs.all_updates,All Updates,All Updates,All Updates,Toutes les mises à jour,Toutes les mises à jour,Toutes les mises à jour,Toutes les mises à jour,"'activity.tabs.all_updates':'Toutes les mises à jour',",
fr,activity.tabs.comments,Comments,Comments,Comments,commentaires,commentaires,commentaires,commentaires,"'activity.tabs.comments':'commentaires',",
fr,activity.tabs.status_updates,Status Updates,Status Updates,Status Updates,Mises à jour de statut,Mises à jour de statut,Mises à jour de statut,Mises à jour de statut,"'activity.tabs.status_updates':'Mises à jour de statut',",
fr,activity.ticket.assignee,changed the {{type}} from %s{{from}} %sto %s{{to}} %s{{timestamp}},changed the _type}} from %s_from}} %sto %s_to}} %s_timestamp}},changed the _type_var_ from %s_from_var_ %sto %s_to_var_ %s_timestamp_var_,changé le _type_var_ de% s_from_var_% sto% s_to_var_% s_timestamp_var_,changé le _type}} de% s_from}}% sto% s_to}}% s_timestamp}},changé le {{type}} de% s{{from}}% sto% s{{to}}% s{{timestamp}},changé le {{type}} de% s{{from}}% sto% s{{to}}% s{{timestamp}},"'activity.ticket.assignee':'changé le {{type}} de% s{{from}}% sto% s{{to}}% s{{timestamp}}',",
fr,activity.ticket.attachment_add.one,uploaded %s{{count}} file %s{{timestamp}} %s{{added}},uploaded %s_count}} file %s_timestamp}} %s_added}},uploaded %s_count_var_ file %s_timestamp_var_ %s_added_var_,téléchargé% fichier s_count_var_% s_timestamp_var_% s_added_var_,téléchargé% fichier s_count}}% s_timestamp}}% s_added}},téléchargé% fichier s{{count}}% s{{timestamp}}% s{{added}},téléchargé% fichier s{{count}}% s{{timestamp}}% s{{added}},"'activity.ticket.attachment_add.one':'téléchargé% fichier s{{count}}% s{{timestamp}}% s{{added}}',",
fr,activity.ticket.attachment_add.other,uploaded %s{{count}} files %s{{timestamp}} %s{{added}},uploaded %s_count}} files %s_timestamp}} %s_added}},uploaded %s_count_var_ files %s_timestamp_var_ %s_added_var_,téléchargé% fichiers s_count_var_% s_timestamp_var_% s_added_var_,téléchargé% fichiers s_count}}% s_timestamp}}% s_added}},téléchargé% fichiers s{{count}}% s{{timestamp}}% s{{added}},téléchargé% fichiers s{{count}}% s{{timestamp}}% s{{added}},"'activity.ticket.attachment_add.other':'téléchargé% fichiers s{{count}}% s{{timestamp}}% s{{added}}',",
fr,activity.ticket.attachment_remove.one,removed %s{{count}} file %s{{timestamp}} %s{{removed}},removed %s_count}} file %s_timestamp}} %s_removed}},removed %s_count_var_ file %s_timestamp_var_ %s_removed_var_,supprimé% fichier s_count_var_% s_timestamp_var_% s_removed_var_,supprimé% fichier s_count}}% s_timestamp}}% s_removed}},supprimé% fichier s{{count}}% s{{timestamp}}% s{{removed}},supprimé% fichier s{{count}}% s{{timestamp}}% s{{removed}},"'activity.ticket.attachment_remove.one':'supprimé% fichier s{{count}}% s{{timestamp}}% s{{removed}}',",
